Date,Price,Open,High,Low,Vol.,Change %
27-08-2024,"72,122","71,898","72,160","71,740",5.06,0.12%
26-08-2024,"72,039","71,852","72,251","71,755",5.34,0.37%
23-08-2024,"71,777","71,474","71,940","71,302",7.32,0.82%
22-08-2024,"71,194","71,670","71,884","70,894",8.5,-0.89%
21-08-2024,"71,830","71,857","72,099","71,470",5.84,0.07%
20-08-2024,"71,777","71,530","72,272","71,403",8.32,0.27%
19-08-2024,"71,584","71,458","71,720","71,181",6.07,0.29%
16-08-2024,"71,375","70,303","71,475","70,279",9.58,1.77%
14-08-2024,"70,136","70,579","71,020","70,035",7.52,-0.80%
13-08-2024,"70,699","70,630","70,920","70,538",5.09,-0.06%
12-08-2024,"70,738","69,719","70,779","69,714",6.44,1.21%
09-08-2024,"69,895","69,470","69,995","69,470",4.93,0.27%
08-08-2024,"69,704","68,896","69,750","68,810",5.62,1.07%
07-08-2024,"68,965","69,440","69,440","68,740",4.65,0.00%
06-08-2024,"68,965","69,437","69,470","68,703",7.68,-1.80%
05-08-2024,"70,230","70,082","71,499","69,565",0.01,-0.04%
02-08-2024,"70,255","70,200","70,420","69,445",0.03,0.86%
01-08-2024,"69,654","69,624","69,940","69,282",0.15,0.93%
31-07-2024,"69,012","69,117","69,460","68,950",0.23,0.59%
30-07-2024,"68,610","68,273","68,699","67,945",2.33,0.50%
29-07-2024,"68,268","68,426","68,670","68,040",6.04,0.12%
26-07-2024,"68,186","67,990","68,340","67,666",6.22,1.07%
25-07-2024,"67,462","68,015","68,105","67,400",10.42,-2.16%
24-07-2024,"68,952","68,790","69,299","68,652",7.62,0.65%
23-07-2024,"68,510","72,838","72,850","68,456",27.81,-5.79%
22-07-2024,"72,718","73,161","73,185","72,501",7,-0.37%
19-07-2024,"72,990","73,810","73,866","72,930",8.51,-1.57%
18-07-2024,"74,155","74,364","74,538","74,050",4.56,0.02%
17-07-2024,"74,137","74,259","74,731","74,068",4.11,-0.18%
16-07-2024,"74,273","73,657","74,309","73,531",7.43,1.09%
15-07-2024,"73,471","73,105","73,737","73,035",4.56,0.28%
12-07-2024,"73,269","73,204","73,292","72,919",4.86,-0.06%
11-07-2024,"73,311","72,815","73,333","72,730",7.49,0.88%
10-07-2024,"72,668","72,530","72,972","72,500",4.8,0.37%
09-07-2024,"72,398","72,578","72,634","72,111",4.75,0.09%
08-07-2024,"72,333","73,038","73,068","72,130",5.34,-0.98%
05-07-2024,"73,051","72,412","73,149","72,205",6.45,0.95%
04-07-2024,"72,367","72,412","72,485","72,237",3.1,-0.05%
03-07-2024,"72,403","71,713","72,573","71,685",7.32,1.19%
02-07-2024,"71,554","71,684","71,840","71,432",5.3,-0.14%
01-07-2024,"71,654","71,606","71,875","71,375",5.2,0.10%
28-06-2024,"71,582","71,422","71,850","71,402",4.84,0.01%
27-06-2024,"71,572","70,992","71,695","70,870",5.69,0.68%
26-06-2024,"71,089","71,518","71,522","70,882",6.28,-0.53%
25-06-2024,"71,467","71,712","71,917","71,366",5.52,-0.45%
24-06-2024,"71,791","71,716","71,860","71,531",3.48,0.29%
21-06-2024,"71,584","72,677","72,867","71,540",9.1,-1.38%
20-06-2024,"72,586","71,880","72,850","71,806",7.63,1.19%
19-06-2024,"71,732","71,740","71,886","71,610",2.6,-0.01%
18-06-2024,"71,739","71,575","71,773","71,175",6.29,0.40%
17-06-2024,"71,450","71,672","71,783","71,325",3.09,-0.72%
14-06-2024,"71,965","71,263","72,035","71,158",6.7,1.16%
13-06-2024,"71,138","71,475","71,750","70,976",8.14,-1.16%
12-06-2024,"71,970","71,523","72,172","71,421",6.52,0.67%
11-06-2024,"71,490","71,251","71,709","71,004",4.26,0.07%
10-06-2024,"71,438","71,149","71,490","70,751",5.73,0.12%
07-06-2024,"71,353","73,237","73,516","71,172",13,-2.43%
06-06-2024,"73,131","72,879","73,308","72,638",4.98,1.45%
05-06-2024,"72,088","72,139","72,522","71,500",0.02,0.42%
04-06-2024,"71,788","72,144","72,372","71,617",0.02,0.08%
03-06-2024,"71,730","71,501","72,099","71,178",0.06,-0.22%
31-05-2024,"71,886","71,848","72,449","71,761",0.16,-0.01%
30-05-2024,"71,896","72,132","72,184","71,634",1.53,-0.41%
29-05-2024,"72,193","72,155","72,438","71,931",4.33,0.02%
28-05-2024,"72,180","71,993","72,375","71,762",3.58,0.24%
27-05-2024,"72,009","71,595","72,126","71,456",5.46,1.06%
24-05-2024,"71,256","71,468","71,685","71,211",5.07,-0.45%
23-05-2024,"71,577","72,681","72,681","71,500",8.07,-2.01%
22-05-2024,"73,046","74,026","74,026","72,976",6.85,-1.32%
21-05-2024,"74,021","73,790","74,325","73,701",7.1,-0.47%
20-05-2024,"74,367","73,900","74,442","73,607",4.59,0.89%
17-05-2024,"73,711","72,907","73,782","72,833",7.06,1.00%
16-05-2024,"72,980","73,128","73,268","72,734",4.62,-0.17%
15-05-2024,"73,102","72,336","73,145","72,234",10.05,1.11%
14-05-2024,"72,297","71,936","72,336","71,832",5.7,0.62%
13-05-2024,"71,855","72,363","72,414","71,750",7.31,-1.20%
10-05-2024,"72,727","71,730","72,888","71,730",8.55,1.52%
09-05-2024,"71,639","71,050","71,708","70,877",9.5,0.72%
08-05-2024,"71,127","71,163","71,315","70,901",6.42,-0.03%
07-05-2024,"71,148","71,280","71,398","70,927",5.64,-0.31%
06-05-2024,"71,369","70,849","71,520","70,849",7.08,0.99%
03-05-2024,"70,668","70,678","71,129","70,082",9.79,-0.10%
02-05-2024,"70,736","71,278","71,278","70,301",8.87,0.02%
01-05-2024,"70,725","70,452","70,921","70,384",5.39,0.44%
30-04-2024,"70,415","71,300","71,347","70,380",8.69,-1.66%
29-04-2024,"71,602","71,230","71,698","71,147",5.94,0.14%
26-04-2024,"71,500","71,212","71,750","71,212",6.83,0.40%
25-04-2024,"71,214","70,778","71,580","70,631",7.56,0.23%
24-04-2024,"71,050","70,987","71,369","70,730",5.69,0.03%
23-04-2024,"71,029","71,125","71,210","70,202",10.52,-0.24%
22-04-2024,"71,197","72,127","72,295","71,160",9.74,-2.21%
19-04-2024,"72,806","72,718","72,955","72,309",9.24,0.17%
18-04-2024,"72,683","72,498","72,880","72,353",7.84,0.22%
17-04-2024,"72,523","73,299","73,299","72,380",6.15,-0.69%
16-04-2024,"73,029","72,829","73,315","72,290",9.18,1.04%
15-04-2024,"72,277","72,030","72,366","71,200",10.53,0.60%
12-04-2024,"71,843","71,999","73,958","71,704",14.1,0.28%
11-04-2024,"71,644","71,273","71,682","71,081",2.85,0.54%
10-04-2024,"71,258","71,438","71,709","70,819",9.85,-0.11%
